round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,4.440892098500626e-16,,0.942065338,3.4342312e7,-6.661338147750939e-16
2,4,0,0.0,,0.173382275,4.346848e6,3.3306690738754696e-16
3,8,0,0.0,,0.00913579,246464.0,4.440892098500626e-16
4,16,4,1.5543122344752192e-15,,0.022433926,492304.0,0.0
5,32,12,1.5543122344752192e-15,,0.041789195,840512.0,-4.440892098500626e-16
6,64,8,1.7230685060612965,,1.406469618,5.6112384e7,0.7486646985740621
7,128,20,1.3613100879288171,,0.275986237,5.8852816e7,-0.17150344111944782
8,256,51,1.2500395559914317,,0.600527189,1.21360496e8,-0.15746275429314593
9,512,101,1.1561587959249948,,1.212905506,2.3178528e8,-0.03904104840079414
10,1024,167,1.48023218918939,,2.363827666,4.96232096e8,0.022091653206380624
